id_actif,actif,famille,groupe,site,zone,localisation,source,corrective_count,preventive_count,total_maintenance_count
175109,Armoire électrique 1,Equipement électrique,Armoire électrique ,PPR,PPR01,Batiment operationnel 2,preventive,0,2,2
175125,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,PPR,PPR01,Batiment operationnel 2,preventive,0,1,1
175126,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,PPR,PPR01,Batiment operationnel 2,preventive,0,1,1
175127,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,PPR,PPR01,Batiment operationnel 2,preventive,0,1,1
175128,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,PPR,PPR01,Batiment operationnel 2,preventive,0,1,1
175129,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,PPR,PPR01,Batiment operationnel 2,preventive,0,1,1
175130,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,PPR,PPR01,Batiment operationnel 2,preventive,0,1,1
175131,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,PPR,PPR01,Batiment operationnel 2,preventive,0,1,1
175132,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,PPR,PPR01,Batiment operationnel 2,preventive,0,1,1
175151,VRV,Equipement climatisation et VMC,VRV,PPR,PPR01,Batiment operationnel 2,preventive,0,1,1
175196,VRV,Equipement climatisation et VMC,VRV,PPR,PPR01,Batiment operationnel 1,preventive,0,1,1
175198,Store enrouleur 2,Equipement lot archi / Menuiserie ,Store enrouleur,PPR,PPR01,Batiment operationnel 1,corrective,1,0,1
175210,Thermostat Clim 1,Equipement climatisation et VMC,Thermostat Clim,PPR,PPR01,Batiment operationnel 1,corrective,1,0,1
175229,Armoire électrique 1,Equipement électrique,Armoire électrique ,PPR,PPR01,Batiment operationnel 1,preventive,0,2,2
175248,Armoire électrique 1,Equipement électrique,Armoire électrique ,PPR,PPR01,Batiment operationnel 1,preventive,0,2,2
175250,Porte métallique 1,Equipement lot archi / Menuiserie ,Porte métallique,PPR,PPR01,Batiment operationnel 1,corrective,1,0,1
175252,Armoire électrique 1,Equipement électrique,Armoire électrique ,PPR,PPR01,Batiment operationnel 1,preventive,0,2,2
175255,Store enrouleur 1,Equipement lot archi / Menuiserie ,Store enrouleur,PPR,PPR01,Batiment operationnel 1,corrective,1,0,1
175283,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM2,TM02,Safety brigade,preventive,0,3,3
175284,Armoire électrique 2,Equipement électrique,Armoire électrique ,TM2,TM02,Safety brigade,preventive,0,3,3
175305,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,TM2,TM02,Safety brigade,preventive,0,2,2
175306,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,TM2,TM02,Safety brigade,preventive,0,2,2
175379,Mono split 1,Equipement climatisation et VMC,Mono split ,TM2,TM02,Safety brigade,preventive,0,3,3
175380,Mono split 1,Equipement climatisation et VMC,Mono split ,TM2,TM02,Safety brigade,preventive,0,3,3
175381,Mono split 1,Equipement climatisation et VMC,Mono split ,TM2,TM02,Safety brigade,preventive,0,3,3
175764,Caisson lumineux 2,Equipement éclairage,Caisson lumineux,MEDHUB,ZFL01,Entrepôt 120,corrective,1,0,1
176039,Mono split 1,Equipement climatisation et VMC,Mono split ,MEDHUB,ZFL01,Entrepôt 120,preventive,0,1,1
176040,Mono split 1,Equipement climatisation et VMC,Mono split ,MEDHUB,ZFL01,Entrepôt 120,preventive,0,1,1
176041,Mono split 1,Equipement climatisation et VMC,Mono split ,MEDHUB,ZFL01,Entrepôt 120,preventive,0,1,1
176042,Mono split 1,Equipement climatisation et VMC,Mono split ,MEDHUB,ZFL01,Entrepôt 120,preventive,0,1,1
176043,Mono split 1,Equipement climatisation et VMC,Mono split ,MEDHUB,ZFL01,Entrepôt 120,preventive,0,1,1
176044,Mono split 1,Equipement climatisation et VMC,Mono split ,MEDHUB,ZFL01,Entrepôt 120,preventive,0,1,1
176171,Séche main 1,Equipement plomberie et sanitaire,Séche main,MEDHUB,ZFL01,Entrepôt 120,corrective,1,0,1
176189,Spot 1,Equipement éclairage,Spot,MEDHUB,ZFL01,Entrepôt 120,corrective,1,0,1
176207,Ascenseur 1,Equipement  de levage,Ascenseur ,PPR,PPR01,Ancienne gare maritime,preventive,0,3,3
176428,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176429,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176430,Armoire électrique 2,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176431,Armoire électrique 3,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176432,Armoire électrique 4,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176433,Armoire électrique 5,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176434,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176435,Armoire électrique 2,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176436,Armoire électrique 3,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176437,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176438,Armoire électrique 2,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176439,Armoire électrique 3,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176440,Armoire électrique 4,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176441,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176442,Armoire électrique 2,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176443,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176444,Armoire électrique 2,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176445,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176446,Armoire électrique 6,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176447,Armoire électrique 5,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176448,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176449,Armoire électrique 4,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176450,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176451,Armoire électrique 3,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176452,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,2,2
176453,Ascenseur 2,Equipement  de levage,Ascenseur ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,3,3
176454,Ascenseur 1,Equipement  de levage,Ascenseur ,TM1,TMPC01,Gare Maritime TMPC,"corrective, preventive",3,3,6
176455,Ascenseur 1,Equipement  de levage,Ascenseur ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,3,3
176536,Centrale de traitement d'air 1,Equipement climatisation et VMC,Centrale de traitement d'air,TM1,TMPC01,Gare Maritime TMPC,preventive,0,1,1
176537,Pompe à chaleur 3,Equipement climatisation et VMC,Pompe à chaleur,TM1,TMPC01,Gare Maritime TMPC,preventive,0,3,3
176538,Pompe à chaleur 2,Equipement climatisation et VMC,Pompe à chaleur,TM1,TMPC01,Gare Maritime TMPC,preventive,0,3,3
176539,Pompe à chaleur 1,Equipement climatisation et VMC,Pompe à chaleur,TM1,TMPC01,Gare Maritime TMPC,preventive,0,3,3
176541,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,TM1,TMPC01,Gare Maritime TMPC,preventive,0,3,3
176606,Cloison ,Equipement lot archi / Menuiserie ,Cloison,TM1,TMPC01,Gare Maritime TMPC,corrective,1,0,1
176626,Cloison ,Equipement lot archi / Menuiserie ,Cloison,TM1,TMPC01,Gare Maritime TMPC,corrective,1,0,1
176648,Dalle ,Element de structure ,Dalle,TM1,TMPC01,Gare Maritime TMPC,corrective,1,0,1
176728,"Distributeur papier, serviette 1",Equipement plomberie et sanitaire,"Distributeur papier, serviette",TM1,TMPC01,Gare Maritime TMPC,corrective,1,0,1
176731,"Distributeur papier, serviette 2",Equipement plomberie et sanitaire,"Distributeur papier, serviette",TM1,TMPC01,Gare Maritime TMPC,corrective,2,0,2
176737,Escalator électrique 1,Equipement  de levage,Escalator électrique,TM1,TMPC01,Gare Maritime TMPC,preventive,0,4,4
176764,Fenêtre 1,Equipement lot archi / Menuiserie ,Fenêtre ,TM1,TMPC01,Gare Maritime TMPC,corrective,1,0,1
176769,Gard corp ,Equipement lot archi / Menuiserie ,Gard corp,TM1,TMPC01,Gare Maritime TMPC,corrective,1,0,1
