article,total_cost,total_quantity,request_count,cumulative_cost,cumulative_pct
Interrupteur position 3SE5112-0CA00-1CA0,7000.0,10.0,2,12316161.200000001,92.09096911300723
Capteur numérique de marque Giropes de 40 Tonnes,7000.0,2.0,1,12323161.200000001,92.14330983616951
Bloc autonome d'éclairage de sécurité,7000.0,28.0,5,12330161.200000001,92.19565055933178
Boîtier de commande « Inekma » du quai niveleur RH11,7000.0,1.0,1,12337161.200000001,92.24799128249404
Chauffeau électrique 30L  MEDHUB,7000.0,2.0,2,12344161.200000001,92.3003320056563
Vachette de porte aluminium,6984.0,97.0,83,12351145.200000001,92.35255309287992
Cadenas passe partout clidor y compris clés,6885.0,51.0,10,12358030.200000001,92.40403393273309
White spirit 5L,6690.0,446.0,187,12364720.200000001,92.45405670958388
"Câble CR1 2*1,5 Ininflammable",6600.0,300.0,1,12371320.200000001,92.50340653427973
Ventilateur axial 230 VAC,6600.0,3.0,3,12377920.200000001,92.55275635897559
Mécanisme de chasse d'eau,6545.0,55.0,40,12384465.200000001,92.6016949351323
Lampe PROJECT 100W/12V HALOGENE,6480.0,54.0,2,12390945.200000001,92.65014749028823
Fourniture du feu d'extrémité quai tribord vert,6325.0,1.0,1,12397270.200000001,92.69744107228843
Fourniture du feu d'extrémité quai blanc,6325.0,1.0,1,12403595.200000001,92.74473465428862
Abattant toilette anglaise standard et suspendu TMSA	,6300.0,3.0,1,12409895.200000001,92.79184130513465
Bloc autonome d'éclairage,6171.0,33.0,16,12416066.200000001,92.83798339122528
poulie porte Schindler,6150.0,53.0,4,12422216.200000001,92.88396845514642
câble électrique U1000 RO2V 3 x 4mm,6075.0,150.0,1,12428291.200000001,92.92939272560508
Peinture galvanisée à froid,5940.0,135.0,10,12434231.200000001,92.97380756783136
Hublot LED 24W,5920.0,74.0,13,12440151.200000001,93.0180728651343
"Tubes fluorescent LED, 8w, 4000k",5880.0,98.0,3,12446031.200000001,93.06203907259061
Filtre à huile réf : DOOSAN 4004404-00144,5880.0,6.0,3,12451911.200000001,93.10600528004692
Parachute cable,5850.0,13.0,7,12457761.200000001,93.14974717011823
Abattant sanitaire anglaise. w,5830.0,106.0,69,12463591.200000001,93.19333951526623
Panneaux sandwich pour porte sectionnelle  dimensions 5000X600X40,5800.0,2.0,1,12469391.200000001,93.23670754302927
Projecteur LED 100W,5775.0,231.0,27,12475166.200000001,93.27988863963813
Fourniture d'un coffret polyster (800*600*250) IP66,5600.0,2.0,1,12480766.200000001,93.32176121816794
Pressostat BP de circuit frigorifique de PAC,5568.0,2.0,2,12486334.200000001,93.36339452482044
Pressostat HP de circuit frigorifique de PAC,5568.0,2.0,2,12491902.200000001,93.40502783147294
Lampe LED E27 15W 6500K MEDHUB,5500.0,22.0,10,12497402.200000001,93.44615268538615
Peinture de traçage rouge 25KG,5500.0,5.0,2,12502902.200000001,93.48727753929936
